wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,6.28570e-17,5.29373e-17,7.37273e-17,5.29373e-17
3700.50,-1.30241e-17,5.84412e-17,8.92064e-19,5.84412e-17
3700.75,-7.26186e-17,5.83403e-17,-5.80702e-17,5.83403e-17
3701.00,-3.65382e-17,5.82056e-17,-2.16918e-17,5.82056e-17
3701.25,3.68647e-18,5.80601e-17,1.87217e-17,5.80601e-17
3701.50,-1.40267e-17,5.79088e-17,1.13807e-18,5.79088e-17
3701.75,6.87579e-18,5.77158e-17,2.17549e-17,5.77158e-17
3702.00,3.73333e-17,5.75073e-17,5.17719e-17,5.75073e-17
3702.25,3.98554e-17,5.73142e-17,5.40052e-17,5.73142e-17
3702.50,4.25952e-17,5.72026e-17,5.72627e-17,5.72026e-17
3702.75,1.03007e-17,5.70560e-17,2.51373e-17,5.70560e-17
3703.00,3.54732e-18,5.68803e-17,1.82634e-17,5.68803e-17
3703.25,1.03210e-17,5.66838e-17,2.47091e-17,5.66838e-17
3703.50,-3.66365e-17,5.64894e-17,-2.25575e-17,5.64894e-17
3703.75,-4.12651e-17,5.62932e-17,-2.75156e-17,5.62932e-17
3704.00,-2.15630e-17,5.61071e-17,-8.04491e-18,5.61071e-17
3704.25,1.89209e-17,5.59388e-17,3.23842e-17,5.59388e-17
3704.50,7.18996e-17,5.57924e-17,8.55227e-17,5.57924e-17
3704.75,4.05026e-17,5.56693e-17,5.45146e-17,5.56693e-17
3705.00,-6.51531e-18,5.55110e-17,7.53459e-18,5.55110e-17
3705.25,-6.59033e-18,5.53424e-17,7.39327e-18,5.53424e-17
3705.50,-2.67985e-18,5.51659e-17,1.11581e-17,5.51659e-17
3705.75,-2.53236e-17,5.49816e-17,-1.17107e-17,5.49816e-17
3706.00,-2.81621e-17,5.48131e-17,-1.46210e-17,5.48131e-17
3706.25,6.81183e-18,5.46421e-17,2.02553e-17,5.46421e-17
3706.50,2.36602e-17,5.44587e-17,3.68810e-17,5.44587e-17
3706.75,2.38699e-17,5.42703e-17,3.68180e-17,5.42703e-17
3707.00,8.36152e-18,5.40897e-17,2.11102e-17,5.40897e-17
3707.25,-2.10813e-17,5.39341e-17,-8.28710e-18,5.39341e-17
3707.50,-2.02698e-17,5.37989e-17,-7.22987e-18,5.37989e-17
3707.75,9.57188e-18,5.36624e-17,2.28436e-17,5.36624e-17
3708.00,4.33487e-17,5.35181e-17,5.67723e-17,5.35181e-17
3708.25,-7.05269e-17,5.33507e-17,-5.71832e-17,5.33507e-17
3708.50,-3.23375e-17,5.31767e-17,-1.91421e-17,5.31767e-17
3708.75,2.94059e-17,5.29993e-17,4.24176e-17,5.29993e-17
3709.00,4.44758e-17,5.28362e-17,5.74444e-17,5.28362e-17
3709.25,-1.62709e-17,5.26966e-17,-3.11633e-18,5.26966e-17
3709.50,3.75522e-17,5.25779e-17,5.10975e-17,5.25779e-17
3709.75,-5.95853e-17,5.23860e-17,-4.63781e-17,5.23860e-17
3710.00,-5.62134e-17,5.21977e-17,-4.33079e-17,5.21977e-17
3710.25,-1.22792e-17,5.20202e-17,4.31524e-19,5.20202e-17
3710.50,1.86194e-17,5.18648e-17,3.13535e-17,5.18648e-17
3710.75,-1.17072e-17,5.17026e-17,9.82018e-19,5.17026e-17
3711.00,-6.76509e-19,5.15681e-17,1.22440e-17,5.15681e-17
3711.25,-2.82311e-17,5.14410e-17,-1.50042e-17,5.14410e-17
3711.50,-6.02148e-17,5.13084e-17,-4.67349e-17,5.13084e-17
3711.75,2.13142e-17,5.11370e-17,3.46605e-17,5.11370e-17
3712.00,4.42445e-17,5.09634e-17,5.74351e-17,5.09634e-17
3712.25,3.27353e-17,5.07923e-17,4.57959e-17,5.07923e-17
3712.50,8.00416e-18,5.06082e-17,2.08072e-17,5.06082e-17
3712.75,-1.47914e-17,5.04103e-17,-2.38447e-18,5.04103e-17
3713.00,6.82879e-17,5.02099e-17,8.02723e-17,5.02099e-17
3713.25,-4.44186e-17,5.00402e-17,-3.25536e-17,5.00402e-17
3713.50,-2.87920e-17,4.98782e-17,-1.69699e-17,4.98782e-17
3713.75,9.82624e-18,4.97193e-17,2.16353e-17,4.97193e-17
3714.00,1.55831e-17,4.95615e-17,2.73876e-17,4.95615e-17
3714.25,-2.97595e-17,4.94055e-17,-1.79443e-17,4.94055e-17
3714.50,2.63329e-17,4.92501e-17,3.81629e-17,4.92501e-17
3714.75,5.56824e-17,4.91024e-17,6.76023e-17,4.91024e-17
3715.00,5.24810e-17,4.89670e-17,6.46116e-17,4.89670e-17
3715.25,-2.79234e-18,4.88581e-17,9.80707e-18,4.88581e-17
3715.50,2.62712e-17,4.87630e-17,3.94749e-17,4.87630e-17
3715.75,-6.30225e-18,4.86038e-17,6.86677e-18,4.86038e-17
3716.00,-5.43203e-18,4.84163e-17,7.41997e-18,4.84163e-17
3716.25,1.88316e-17,4.82120e-17,3.11948e-17,4.82120e-17
3716.50,-1.77785e-17,4.80142e-17,-5.84315e-18,4.80142e-17
3716.75,4.12221e-17,4.78473e-17,5.30324e-17,4.78473e-17
3717.00,-2.05614e-17,4.76902e-17,-8.78036e-18,4.76902e-17
3717.25,-4.79296e-17,4.75410e-17,-3.61023e-17,4.75410e-17
3717.50,2.78233e-18,4.74013e-17,1.47428e-17,4.74013e-17
3717.75,9.01900e-18,4.72961e-17,2.14497e-17,4.72961e-17
3718.00,-1.74773e-17,4.71706e-17,-4.78080e-18,4.71706e-17
3718.25,1.35918e-18,4.70065e-17,1.39361e-17,4.70065e-17
3718.50,1.14060e-17,4.68235e-17,2.36715e-17,4.68235e-17
3718.75,-3.50993e-17,4.66329e-17,-2.32267e-17,4.66329e-17
3719.00,9.05942e-18,4.64639e-17,2.07481e-17,4.64639e-17
3719.25,2.04569e-17,4.63101e-17,3.21090e-17,4.63101e-17
3719.50,1.55672e-17,4.61590e-17,2.72056e-17,4.61590e-17
3719.75,-4.04983e-18,4.60118e-17,7.60824e-18,4.60118e-17
3720.00,-4.28208e-17,4.58738e-17,-3.10567e-17,4.58738e-17
3720.25,-1.88650e-17,4.57597e-17,-6.75868e-18,4.57597e-17
3720.50,1.93835e-18,4.56313e-17,1.42444e-17,4.56313e-17
3720.75,5.82108e-20,4.54811e-17,1.23496e-17,4.54811e-17
3721.00,-2.05230e-17,4.53093e-17,-8.46041e-18,4.53093e-17
3721.25,-1.16077e-17,4.51243e-17,9.39702e-20,4.51243e-17
3721.50,8.71029e-17,4.49627e-17,9.86759e-17,4.49627e-17
3721.75,6.24822e-17,4.48088e-17,7.40049e-17,4.48088e-17
3722.00,2.13992e-17,4.46576e-17,3.28986e-17,4.46576e-17
3722.25,8.42891e-18,4.45076e-17,1.99153e-17,4.45076e-17
3722.50,4.45912e-17,4.43624e-17,5.61102e-17,4.43624e-17
3722.75,8.33936e-18,4.42341e-17,2.00579e-17,4.42341e-17
3723.00,-4.13463e-19,4.41294e-17,1.17387e-17,4.41294e-17
3723.25,3.99899e-18,4.40320e-17,1.66568e-17,4.40320e-17
3723.50,8.44346e-18,4.39264e-17,2.15221e-17,4.39264e-17
3723.75,-5.47960e-17,4.37253e-17,-4.22510e-17,4.37253e-17
3724.00,-9.01479e-18,4.35204e-17,2.95599e-18,4.35204e-17
3724.25,1.67455e-17,4.33352e-17,2.83367e-17,4.33352e-17
3724.50,1.57408e-17,4.31696e-17,2.71457e-17,4.31696e-17
3724.75,-1.38997e-17,4.30188e-17,-2.53937e-18,4.30188e-17
3725.00,-8.56214e-17,4.28718e-17,-7.42730e-17,4.28718e-17
3725.25,-2.67436e-17,4.27250e-17,-1.54103e-17,4.27250e-17
3725.50,-6.07536e-18,4.25786e-17,5.24317e-18,4.25786e-17
3725.75,-4.82624e-17,4.24326e-17,-3.69587e-17,4.24326e-17
3726.00,-1.18069e-18,4.22878e-17,1.01146e-17,4.22878e-17
3726.25,-2.36911e-18,4.21432e-17,8.91320e-18,4.21432e-17
3726.50,-3.33463e-17,4.19990e-17,-2.20796e-17,4.19990e-17
3726.75,-4.83307e-17,4.18553e-17,-3.70796e-17,4.18553e-17
3727.00,-1.65172e-17,4.17122e-17,-5.28171e-18,4.17122e-17
3727.25,-3.26156e-18,4.15706e-17,7.96668e-18,4.15706e-17
3727.50,3.24118e-17,4.14289e-17,4.36243e-17,4.14289e-17
3727.75,2.56072e-17,4.12880e-17,3.68048e-17,4.12880e-17
3728.00,-5.80792e-19,4.11486e-17,1.06085e-17,4.11486e-17
3728.25,-1.32031e-17,4.10119e-17,-2.00099e-18,4.10119e-17
3728.50,1.02255e-17,4.08953e-17,2.16323e-17,4.08953e-17
3728.75,-3.15200e-17,4.08017e-17,-1.96874e-17,4.08017e-17
3729.00,-4.94826e-17,4.07059e-17,-3.72563e-17,4.07059e-17
3729.25,-3.56398e-17,4.05942e-17,-2.31851e-17,4.05942e-17
3729.50,1.12153e-17,4.04216e-17,2.32841e-17,4.04216e-17
3729.75,-1.26515e-17,4.02311e-17,-1.15467e-18,4.02311e-17
3730.00,3.62277e-18,4.00720e-17,1.48529e-17,4.00720e-17
3730.25,1.41011e-17,3.99265e-17,2.51921e-17,3.99265e-17
3730.50,1.71383e-18,3.97906e-17,1.27584e-17,3.97906e-17
3730.75,-7.39426e-17,3.96583e-17,-6.29107e-17,3.96583e-17
3731.00,1.62913e-17,3.95264e-17,2.73104e-17,3.95264e-17
3731.25,4.88505e-17,3.93963e-17,5.98712e-17,3.93963e-17
3731.50,5.37359e-17,3.92729e-17,6.48187e-17,3.92729e-17
3731.75,4.78531e-17,3.91610e-17,5.91122e-17,3.91610e-17
3732.00,-2.19063e-17,3.91122e-17,-9.84384e-18,3.91122e-17
3732.25,-2.35025e-17,3.90578e-17,-1.06951e-17,3.90578e-17
3732.50,-1.23013e-17,3.89581e-17,7.95707e-19,3.89581e-17
3732.75,-5.76374e-20,3.88106e-17,1.28448e-17,3.88106e-17
3733.00,-9.42481e-18,3.85950e-17,2.60012e-18,3.85950e-17
3733.25,-1.49129e-17,3.83946e-17,-3.61424e-18,3.83946e-17
3733.50,-2.07612e-17,3.82604e-17,-9.53194e-18,3.82604e-17
3733.75,-1.26119e-17,3.81664e-17,-1.05684e-18,3.81664e-17
3734.00,6.77502e-18,3.81066e-17,1.89922e-17,3.81066e-17
3734.25,7.80258e-18,3.80828e-17,2.10405e-17,3.80828e-17
3734.50,2.95637e-17,3.79918e-17,4.31476e-17,3.79918e-17
3734.75,3.52883e-17,3.79053e-17,4.92613e-17,3.79053e-17
3735.00,3.60681e-17,3.78408e-17,5.06457e-17,3.78408e-17
3735.25,3.44744e-17,3.78021e-17,4.99110e-17,3.78021e-17
3735.50,-7.56900e-18,3.76975e-17,8.06020e-18,3.76975e-17
3735.75,-4.11513e-17,3.74886e-17,-2.63841e-17,3.74886e-17
3736.00,-2.07218e-17,3.72634e-17,-6.98062e-18,3.72634e-17
3736.25,1.08490e-17,3.70416e-17,2.35922e-17,3.70416e-17
3736.50,7.84693e-18,3.68437e-17,1.98286e-17,3.68437e-17
3736.75,-1.62019e-18,3.67053e-17,1.01902e-17,3.67053e-17
3737.00,-2.80378e-18,3.65950e-17,9.11260e-18,3.65950e-17
3737.25,-8.41973e-18,3.64972e-17,3.72475e-18,3.64972e-17
3737.50,-6.27961e-18,3.64122e-17,6.21411e-18,3.64122e-17
3737.75,4.81125e-17,3.63533e-17,6.12116e-17,3.63533e-17
3738.00,4.09258e-17,3.62809e-17,5.44915e-17,3.62809e-17
3738.25,2.93915e-17,3.61542e-17,4.28736e-17,3.61542e-17
3738.50,1.21394e-17,3.60293e-17,2.55522e-17,3.60293e-17
3738.75,-4.41681e-18,3.59191e-17,9.06742e-18,3.59191e-17
3739.00,3.84870e-17,3.58380e-17,5.23303e-17,3.58380e-17
3739.25,-2.02009e-18,3.57489e-17,1.20948e-17,3.57489e-17
3739.50,-2.12889e-17,3.56954e-17,-6.54629e-18,3.56954e-17
3739.75,-2.45319e-17,3.56928e-17,-8.65143e-18,3.56928e-17
3740.00,-1.11140e-17,3.57522e-17,6.53458e-18,3.57522e-17
3740.25,3.22955e-17,3.59226e-17,5.28512e-17,3.59226e-17
3740.50,1.26854e-18,3.57829e-17,2.15584e-17,3.57829e-17
3740.75,6.33828e-18,3.54835e-17,2.47265e-17,3.54835e-17
3741.00,2.05627e-17,3.50983e-17,3.61858e-17,3.50983e-17
3741.25,4.28201e-18,3.47017e-17,1.70419e-17,3.47017e-17
3741.50,-2.80459e-17,3.44831e-17,-1.63529e-17,3.44831e-17
3741.75,-3.94461e-18,3.44316e-17,8.35100e-18,3.44316e-17
3742.00,8.75861e-18,3.44078e-17,2.19303e-17,3.44078e-17
3742.25,-3.95418e-20,3.43781e-17,1.39494e-17,3.43781e-17
3742.50,-5.32510e-17,3.42738e-17,-3.92004e-17,3.42738e-17
3742.75,2.68415e-17,3.41013e-17,4.02627e-17,3.41013e-17
3743.00,8.53459e-18,3.39065e-17,2.10978e-17,3.39065e-17
3743.25,-2.64797e-17,3.37121e-17,-1.47751e-17,3.37121e-17
3743.50,-5.22412e-17,3.35317e-17,-4.12569e-17,3.35317e-17
3743.75,-1.35048e-17,3.34039e-17,-2.71677e-18,3.34039e-17
3744.00,-2.28713e-17,3.33553e-17,-1.14925e-17,3.33553e-17
3744.25,-3.59732e-18,3.33838e-17,9.14292e-18,3.33838e-17
3744.50,1.78815e-17,3.34618e-17,3.24825e-17,3.34618e-17
3744.75,2.21166e-17,3.35756e-17,3.89480e-17,3.35756e-17
3745.00,2.19488e-17,3.34986e-17,3.90721e-17,3.34986e-17
3745.25,1.08433e-18,3.31815e-17,1.60568e-17,3.31815e-17
3745.50,-1.30801e-17,3.28754e-17,-1.41435e-19,3.28754e-17
3745.75,-2.02610e-17,3.26119e-17,-8.92424e-18,3.26119e-17
3746.00,-1.98927e-17,3.24402e-17,-9.23900e-18,3.24402e-17
3746.25,4.45595e-18,3.23284e-17,1.50214e-17,3.23284e-17
3746.50,3.83522e-18,3.22305e-17,1.44484e-17,3.22305e-17
3746.75,-1.98107e-17,3.21565e-17,-8.91583e-18,3.21565e-17
3747.00,-4.73210e-17,3.21179e-17,-3.57969e-17,3.21179e-17
3747.25,2.55566e-17,3.21943e-17,3.88638e-17,3.21943e-17
3747.50,1.94919e-17,3.22756e-17,3.46372e-17,3.22756e-17
3747.75,4.89938e-18,3.22187e-17,2.04822e-17,3.22187e-17
3748.00,3.43270e-18,3.20817e-17,1.86342e-17,3.20817e-17
3748.25,2.15173e-17,3.18753e-17,3.56284e-17,3.18753e-17
3748.50,-1.42520e-17,3.15978e-17,-1.95063e-18,3.15978e-17
