wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,-7.62898e-18,5.34443e-17,3.24135e-18,5.34443e-17
3700.50,-2.90128e-17,5.90007e-17,-1.50967e-17,5.90007e-17
3700.75,-6.13121e-17,5.88990e-17,-4.67637e-17,5.88990e-17
3701.00,-1.02197e-16,5.87638e-17,-8.73504e-17,5.87638e-17
3701.25,-5.92892e-17,5.86185e-17,-4.42539e-17,5.86185e-17
3701.50,1.11474e-18,5.84669e-17,1.62795e-17,5.84669e-17
3701.75,4.87953e-17,5.82740e-17,6.36744e-17,5.82740e-17
3702.00,5.66966e-17,5.80657e-17,7.11352e-17,5.80657e-17
3702.25,-2.69700e-17,5.78728e-17,-1.28202e-17,5.78728e-17
3702.50,-2.55500e-17,5.77609e-17,-1.08825e-17,5.77609e-17
3702.75,1.70634e-17,5.76139e-17,3.19000e-17,5.76139e-17
3703.00,1.44292e-17,5.74381e-17,2.91453e-17,5.74381e-17
3703.25,-1.35791e-17,5.72417e-17,8.08959e-19,5.72417e-17
3703.50,3.48138e-17,5.70477e-17,4.88929e-17,5.70477e-17
3703.75,3.89476e-17,5.68519e-17,5.26972e-17,5.68519e-17
3704.00,3.90578e-17,5.66657e-17,5.25759e-17,5.66657e-17
3704.25,3.42355e-17,5.64974e-17,4.76988e-17,5.64974e-17
3704.50,2.53390e-17,5.63505e-17,3.89621e-17,5.63505e-17
3704.75,3.03216e-17,5.62273e-17,4.43337e-17,5.62273e-17
3705.00,2.05374e-17,5.60689e-17,3.45873e-17,5.60689e-17
3705.25,-1.20926e-17,5.59002e-17,1.89098e-18,5.59002e-17
3705.50,-3.45793e-17,5.57236e-17,-2.07414e-17,5.57236e-17
3705.75,-1.92662e-17,5.55393e-17,-5.65338e-18,5.55393e-17
3706.00,-2.47060e-17,5.53712e-17,-1.11648e-17,5.53712e-17
3706.25,-5.29622e-17,5.52002e-17,-3.95187e-17,5.52002e-17
3706.50,-2.40189e-17,5.50167e-17,-1.07981e-17,5.50167e-17
3706.75,3.23272e-17,5.48284e-17,4.52753e-17,5.48284e-17
3707.00,6.23849e-17,5.46480e-17,7.51335e-17,5.46480e-17
3707.25,8.19059e-17,5.44925e-17,9.47001e-17,5.44925e-17
3707.50,1.65629e-17,5.43568e-17,2.96028e-17,5.43568e-17
3707.75,-1.85588e-17,5.42199e-17,-5.28703e-18,5.42199e-17
3708.00,-1.29198e-17,5.40752e-17,5.03776e-19,5.40752e-17
3708.25,-2.98529e-18,5.39081e-17,1.03584e-17,5.39081e-17
3708.50,-5.40616e-17,5.37343e-17,-4.08662e-17,5.37343e-17
3708.75,-8.72457e-18,5.35568e-17,4.28712e-18,5.35568e-17
3709.00,7.77712e-18,5.33936e-17,2.07457e-17,5.33936e-17
3709.25,-5.37522e-17,5.32535e-17,-4.05976e-17,5.32535e-17
3709.50,-6.12534e-17,5.31347e-17,-4.77081e-17,5.31347e-17
3709.75,-2.13858e-17,5.29430e-17,-8.17866e-18,5.29430e-17
3710.00,-2.18439e-17,5.27548e-17,-8.93831e-18,5.27548e-17
3710.25,-2.69559e-17,5.25773e-17,-1.42452e-17,5.25773e-17
3710.50,1.96896e-18,5.24218e-17,1.47031e-17,5.24218e-17
3710.75,4.74696e-17,5.22599e-17,6.01588e-17,5.22599e-17
3711.00,-5.86154e-18,5.21250e-17,7.05900e-18,5.21250e-17
3711.25,-3.77215e-17,5.19972e-17,-2.44947e-17,5.19972e-17
3711.50,-3.66079e-17,5.18642e-17,-2.31281e-17,5.18642e-17
3711.75,2.14655e-17,5.16930e-17,3.48118e-17,5.16930e-17
3712.00,4.46476e-17,5.15196e-17,5.78382e-17,5.15196e-17
3712.25,3.61447e-17,5.13484e-17,4.92053e-17,5.13484e-17
3712.50,7.32262e-18,5.11644e-17,2.01257e-17,5.11644e-17
3712.75,-3.42315e-17,5.09667e-17,-2.18246e-17,5.09667e-17
3713.00,-4.23277e-17,5.07670e-17,-3.03434e-17,5.07670e-17
3713.25,1.75887e-17,5.05974e-17,2.94538e-17,5.05974e-17
3713.50,1.65996e-17,5.04352e-17,2.84217e-17,5.04352e-17
3713.75,-2.46558e-17,5.02761e-17,-1.28468e-17,5.02761e-17
3714.00,-1.00565e-16,5.01181e-17,-8.87607e-17,5.01181e-17
3714.25,3.13220e-17,4.99625e-17,4.31371e-17,4.99625e-17
3714.50,-1.79324e-17,4.98069e-17,-6.10244e-18,4.98069e-17
3714.75,-4.08445e-18,4.96587e-17,7.83547e-18,4.96587e-17
3715.00,2.58587e-17,4.95230e-17,3.79893e-17,4.95230e-17
3715.25,-1.26156e-18,4.94134e-17,1.13378e-17,4.94134e-17
3715.50,-3.82649e-17,4.93179e-17,-2.50613e-17,4.93179e-17
3715.75,-6.80362e-18,4.91585e-17,6.36540e-18,4.91585e-17
3716.00,2.66384e-17,4.89711e-17,3.94904e-17,4.89711e-17
3716.25,5.53639e-17,4.87671e-17,6.77271e-17,4.87671e-17
3716.50,8.62090e-17,4.85699e-17,9.81444e-17,4.85699e-17
3716.75,1.71451e-17,4.84032e-17,2.89555e-17,4.84032e-17
3717.00,3.06108e-18,4.82459e-17,1.48421e-17,4.82459e-17
3717.25,-2.39473e-17,4.80965e-17,-1.21200e-17,4.80965e-17
3717.50,-7.45818e-17,4.79564e-17,-6.26214e-17,4.79564e-17
3717.75,4.95416e-18,4.78509e-17,1.73848e-17,4.78509e-17
3718.00,-2.41800e-17,4.77250e-17,-1.14835e-17,4.77250e-17
3718.25,-2.05260e-17,4.75608e-17,-7.94904e-18,4.75608e-17
3718.50,-7.43683e-18,4.73779e-17,4.82871e-18,4.73779e-17
3718.75,-1.82795e-18,4.71876e-17,1.00446e-17,4.71876e-17
3719.00,-6.07564e-17,4.70191e-17,-4.90677e-17,4.70191e-17
3719.25,-2.06290e-17,4.68652e-17,-8.97688e-18,4.68652e-17
3719.50,7.86342e-18,4.67139e-17,1.95018e-17,4.67139e-17
3719.75,2.20665e-17,4.65665e-17,3.37245e-17,4.65665e-17
3720.00,2.13353e-17,4.64283e-17,3.30994e-17,4.64283e-17
