wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
4738.75,1.61683e-17,4.34927e-18,2.72883e-17,4.34927e-18
4739.00,1.05654e-17,4.34986e-18,2.16898e-17,4.34986e-18
4739.25,1.40225e-17,4.35046e-18,2.51512e-17,4.35046e-18
4739.50,1.38028e-17,4.35108e-18,2.49358e-17,4.35108e-18
4739.75,8.45096e-18,4.35171e-18,1.95882e-17,4.35171e-18
4740.00,1.15479e-17,4.35237e-18,2.26898e-17,4.35237e-18
4740.25,1.12825e-17,4.35303e-18,2.24293e-17,4.35303e-18
4740.50,7.56420e-18,4.35368e-18,1.87153e-17,4.35368e-18
4740.75,6.06494e-18,4.35434e-18,1.72203e-17,4.35434e-18
4741.00,7.72883e-18,4.35501e-18,1.88885e-17,4.35501e-18
4741.25,1.23911e-17,4.35568e-18,2.35550e-17,4.35568e-18
4741.50,7.97418e-18,4.35637e-18,1.91431e-17,4.35637e-18
4741.75,9.16454e-18,4.35705e-18,2.03378e-17,4.35705e-18
4742.00,8.59475e-18,4.35774e-18,1.97724e-17,4.35774e-18
4742.25,8.32161e-18,4.35844e-18,1.95037e-17,4.35844e-18
4742.50,9.17840e-18,4.35914e-18,2.03648e-17,4.35914e-18
4742.75,9.43918e-18,4.35984e-18,2.06303e-17,4.35984e-18
4743.00,1.56159e-17,4.36054e-18,2.68117e-17,4.36054e-18
4743.25,1.09072e-17,4.36124e-18,2.21072e-17,4.36124e-18
4743.50,1.09792e-17,4.36193e-18,2.21834e-17,4.36193e-18
4743.75,1.36711e-17,4.36262e-18,2.48794e-17,4.36262e-18
4744.00,9.56468e-18,4.36331e-18,2.07771e-17,4.36331e-18
4744.25,6.29052e-18,4.36401e-18,1.75077e-17,4.36401e-18
4744.50,8.09917e-18,4.36471e-18,1.93206e-17,4.36471e-18
4744.75,1.06864e-17,4.36542e-18,2.19121e-17,4.36542e-18
4745.00,1.23918e-17,4.36618e-18,2.36218e-17,4.36618e-18
4745.25,1.21379e-17,4.36713e-18,2.33720e-17,4.36713e-18
4745.50,1.03629e-17,4.36923e-18,2.16016e-17,4.36923e-18
4745.75,8.49844e-18,4.37475e-18,1.97414e-17,4.37475e-18
4746.00,1.06211e-17,4.38252e-18,2.18674e-17,4.38252e-18
4746.25,8.82652e-18,4.39043e-18,2.00750e-17,4.39043e-18
4746.50,4.78977e-18,4.39701e-18,1.60392e-17,4.39701e-18
4746.75,7.80938e-18,4.40083e-18,1.90581e-17,4.40083e-18
4747.00,7.44166e-18,4.40205e-18,1.86881e-17,4.40205e-18
4747.25,9.85277e-18,4.40251e-18,2.10974e-17,4.40251e-18
4747.50,7.94439e-18,4.40287e-18,1.91872e-17,4.40287e-18
4747.75,6.53178e-18,4.40321e-18,1.77727e-17,4.40321e-18
4748.00,1.01427e-17,4.40354e-18,2.13816e-17,4.40354e-18
4748.25,1.31559e-17,4.40380e-18,2.43920e-17,4.40380e-18
4748.50,6.59715e-18,4.40410e-18,1.78311e-17,4.40410e-18
4748.75,1.30766e-17,4.40443e-18,2.43085e-17,4.40443e-18
4749.00,1.62275e-17,4.40475e-18,2.74575e-17,4.40475e-18
4749.25,1.24341e-17,4.40505e-18,2.36620e-17,4.40505e-18
4749.50,9.29930e-18,4.40532e-18,2.05249e-17,4.40532e-18
4749.75,1.35064e-17,4.40552e-18,2.47291e-17,4.40552e-18
4750.00,1.32123e-17,4.40578e-18,2.44329e-17,4.40578e-18
