wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,-1.15717e-17,5.51996e-17,-7.01397e-19,5.51996e-17
3700.50,-1.40158e-17,6.09379e-17,-9.97159e-20,6.09379e-17
3700.75,-1.63254e-18,6.08333e-17,1.29158e-17,6.08333e-17
3701.00,2.97567e-17,6.06964e-17,4.46031e-17,6.06964e-17
3701.25,2.87978e-17,6.05514e-17,4.38330e-17,6.05514e-17
3701.50,9.31746e-17,6.03987e-17,1.08339e-16,6.03987e-17
3701.75,4.31434e-17,6.02059e-17,5.80224e-17,6.02059e-17
3702.00,-2.22759e-17,5.99982e-17,-7.83725e-18,5.99982e-17
3702.25,3.26273e-17,5.98058e-17,4.67771e-17,5.98058e-17
3702.50,3.64048e-17,5.96928e-17,5.10723e-17,5.96928e-17
3702.75,8.18258e-17,5.95445e-17,9.66623e-17,5.95445e-17
3703.00,7.28409e-17,5.93683e-17,8.75569e-17,5.93683e-17
3703.25,1.68081e-17,5.91722e-17,3.11961e-17,5.91722e-17
3703.50,-4.41341e-17,5.89793e-17,-3.00551e-17,5.89793e-17
3703.75,3.09487e-17,5.87846e-17,4.46983e-17,5.87846e-17
3704.00,2.18713e-17,5.85985e-17,3.53894e-17,5.85985e-17
3704.25,-2.78897e-18,5.84295e-17,1.06743e-17,5.84295e-17
3704.50,-2.32672e-17,5.82813e-17,-9.64406e-18,5.82813e-17
3704.75,-7.90519e-18,5.81574e-17,6.10685e-18,5.81574e-17
3705.00,2.20901e-18,5.79984e-17,1.62589e-17,5.79984e-17
3705.25,-1.66696e-17,5.78291e-17,-2.68601e-18,5.78291e-17
3705.50,-1.01190e-17,5.76522e-17,3.71891e-18,5.76522e-17
3705.75,6.84627e-17,5.74679e-17,8.20755e-17,5.74679e-17
3706.00,6.87971e-17,5.73010e-17,8.23382e-17,5.73010e-17
3706.25,6.46457e-17,5.71295e-17,7.80892e-17,5.71295e-17
3706.50,6.14225e-17,5.69460e-17,7.46433e-17,5.69460e-17
3706.75,7.05691e-17,5.67578e-17,8.35172e-17,5.67578e-17
3707.00,1.22088e-16,5.65778e-17,1.34837e-16,5.65778e-17
3707.25,3.92527e-17,5.64226e-17,5.20469e-17,5.64226e-17
3707.50,1.05850e-16,5.62853e-17,1.18890e-16,5.62853e-17
3707.75,9.91174e-17,5.61467e-17,1.12389e-16,5.61467e-17
3708.00,2.12991e-17,5.60006e-17,3.47227e-17,5.60006e-17
3708.25,6.17310e-17,5.58341e-17,7.50747e-17,5.58341e-17
3708.50,-2.16142e-17,5.56607e-17,-8.41885e-18,5.56607e-17
3708.75,4.83996e-17,5.54831e-17,6.14112e-17,5.54831e-17
3709.00,7.20501e-17,5.53191e-17,8.50187e-17,5.53191e-17
3709.25,-2.81505e-17,5.51776e-17,-1.49959e-17,5.51776e-17
3709.50,-1.36860e-17,5.50583e-17,-1.40651e-19,5.50583e-17
3709.75,5.24049e-17,5.48671e-17,6.56121e-17,5.48671e-17
3710.00,5.83403e-17,5.46791e-17,7.12458e-17,5.46791e-17
3710.25,4.18645e-17,5.45015e-17,5.45752e-17,5.45015e-17
3710.50,3.79781e-17,5.43453e-17,5.07122e-17,5.43453e-17
3710.75,-2.50572e-17,5.41843e-17,-1.23679e-17,5.41843e-17
3711.00,-1.43286e-17,5.40477e-17,-1.40803e-18,5.40477e-17
3711.25,-1.67741e-18,5.39180e-17,1.15495e-17,5.39180e-17
3711.50,2.18303e-17,5.37832e-17,3.53101e-17,5.37832e-17
3711.75,1.05398e-16,5.36125e-17,1.18744e-16,5.36125e-17
3712.00,1.65604e-17,5.34399e-17,2.97510e-17,5.34399e-17
3712.25,2.12583e-17,5.32683e-17,3.43189e-17,5.32683e-17
3712.50,2.34484e-17,5.30842e-17,3.62515e-17,5.30842e-17
3712.75,-2.96989e-18,5.28871e-17,9.43700e-18,5.28871e-17
3713.00,-1.31435e-16,5.26895e-17,-1.19450e-16,5.26895e-17
3713.25,-4.75768e-18,5.25200e-17,7.10735e-18,5.25200e-17
3713.50,3.18903e-17,5.23571e-17,4.37125e-17,5.23571e-17
3713.75,4.03065e-17,5.21971e-17,5.21155e-17,5.21971e-17
3714.00,4.84403e-17,5.20383e-17,6.02448e-17,5.20383e-17
3714.25,4.26221e-17,5.18838e-17,5.44373e-17,5.18838e-17
3714.50,-2.28268e-17,5.17272e-17,-1.09968e-17,5.17272e-17
3714.75,-1.78128e-17,5.15779e-17,-5.89289e-18,5.15779e-17
3715.00,3.61625e-18,5.14404e-17,1.57468e-17,5.14404e-17
3715.25,-4.45483e-17,5.13288e-17,-3.19489e-17,5.13288e-17
3715.50,-5.23116e-17,5.12316e-17,-3.91079e-17,5.12316e-17
