wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,6.09689e-17,5.29599e-17,7.18392e-17,5.29599e-17
3700.50,3.71489e-17,5.84661e-17,5.10651e-17,5.84661e-17
3700.75,1.08159e-17,5.83651e-17,2.53642e-17,5.83651e-17
3701.00,2.14300e-17,5.82305e-17,3.62763e-17,5.82305e-17
3701.25,2.04446e-18,5.80850e-17,1.70797e-17,5.80850e-17
3701.50,1.69015e-17,5.79336e-17,3.20663e-17,5.79336e-17
3701.75,-4.05999e-17,5.77407e-17,-2.57209e-17,5.77407e-17
3702.00,-7.53706e-17,5.75322e-17,-6.09320e-17,5.75322e-17
3702.25,5.67017e-17,5.73391e-17,7.08514e-17,5.73391e-17
3702.50,6.36141e-17,5.72274e-17,7.82817e-17,5.72274e-17
3702.75,-3.03969e-17,5.70808e-17,-1.55604e-17,5.70808e-17
3703.00,-6.18198e-17,5.69052e-17,-4.71037e-17,5.69052e-17
3703.25,-3.48311e-17,5.67087e-17,-2.04430e-17,5.67087e-17
3703.50,-7.18583e-18,5.65143e-17,6.89319e-18,5.65143e-17
3703.75,4.34563e-18,5.63181e-17,1.80952e-17,5.63181e-17
3704.00,6.04756e-18,5.61319e-17,1.95657e-17,5.61319e-17
3704.25,7.69269e-18,5.59637e-17,2.11560e-17,5.59637e-17
3704.50,8.22491e-18,5.58172e-17,2.18480e-17,5.58172e-17
3704.75,-4.22533e-17,5.56941e-17,-2.82413e-17,5.56941e-17
3705.00,2.45953e-17,5.55358e-17,3.86452e-17,5.55358e-17
3705.25,6.46011e-17,5.53672e-17,7.85847e-17,5.53672e-17
3705.50,6.12582e-17,5.51907e-17,7.50961e-17,5.51907e-17
3705.75,-9.20415e-18,5.50064e-17,4.40868e-18,5.50064e-17
3706.00,6.56181e-18,5.48379e-17,2.01029e-17,5.48379e-17
3706.25,1.15993e-17,5.46670e-17,2.50428e-17,5.46670e-17
3706.50,-1.10908e-17,5.44835e-17,2.13005e-18,5.44835e-17
3706.75,-3.25784e-17,5.42952e-17,-1.96303e-17,5.42952e-17
3707.00,9.34268e-18,5.41146e-17,2.20913e-17,5.41146e-17
3707.25,1.90897e-17,5.39589e-17,3.18839e-17,5.39589e-17
3707.50,1.74343e-17,5.38237e-17,3.04742e-17,5.38237e-17
3707.75,-1.91865e-18,5.36872e-17,1.13531e-17,5.36872e-17
3708.00,-3.23854e-17,5.35429e-17,-1.89618e-17,5.35429e-17
3708.25,-3.48825e-17,5.33755e-17,-2.15388e-17,5.33755e-17
3708.50,1.64025e-17,5.32016e-17,2.95978e-17,5.32016e-17
3708.75,3.29518e-17,5.30242e-17,4.59635e-17,5.30242e-17
3709.00,2.49669e-17,5.28611e-17,3.79355e-17,5.28611e-17
3709.25,-3.32381e-18,5.27214e-17,9.83081e-18,5.27214e-17
3709.50,6.75149e-17,5.26027e-17,8.10602e-17,5.26027e-17
3709.75,2.24371e-17,5.24108e-17,3.56443e-17,5.24108e-17
3710.00,-3.91688e-18,5.22225e-17,8.98866e-18,5.22225e-17
3710.25,-1.10838e-17,5.20450e-17,1.62693e-18,5.20450e-17
3710.50,7.58434e-18,5.18897e-17,2.03184e-17,5.18897e-17
3710.75,-4.86644e-17,5.17274e-17,-3.59752e-17,5.17274e-17
3711.00,-2.39135e-17,5.15929e-17,-1.09930e-17,5.15929e-17
3711.25,-2.51596e-17,5.14657e-17,-1.19327e-17,5.14657e-17
3711.50,-3.90209e-17,5.13332e-17,-2.55411e-17,5.13332e-17
3711.75,-8.73489e-18,5.11618e-17,4.61140e-18,5.11618e-17
3712.00,6.32334e-17,5.09882e-17,7.64240e-17,5.09882e-17
3712.25,1.50857e-17,5.08171e-17,2.81463e-17,5.08171e-17
3712.50,-2.92527e-17,5.06329e-17,-1.64496e-17,5.06329e-17
3712.75,-4.28325e-17,5.04351e-17,-3.04256e-17,5.04351e-17
3713.00,-2.87548e-17,5.02347e-17,-1.67704e-17,5.02347e-17
3713.25,6.59260e-18,5.00651e-17,1.84576e-17,5.00651e-17
3713.50,5.13018e-18,4.99030e-17,1.69523e-17,4.99030e-17
3713.75,1.88709e-17,4.97441e-17,3.06799e-17,4.97441e-17
3714.00,7.88663e-17,4.95863e-17,9.06708e-17,4.95863e-17
3714.25,-4.51295e-17,4.94304e-17,-3.33144e-17,4.94304e-17
3714.50,-1.77305e-17,4.92749e-17,-5.90049e-18,4.92749e-17
3714.75,4.71876e-17,4.91271e-17,5.91075e-17,4.91271e-17
3715.00,7.52280e-17,4.89918e-17,8.73586e-17,4.89918e-17
3715.25,-6.90190e-17,4.88828e-17,-5.64195e-17,4.88828e-17
3715.50,9.06084e-18,4.87878e-17,2.22645e-17,4.87878e-17
3715.75,5.44927e-17,4.86285e-17,6.76617e-17,4.86285e-17
3716.00,5.01858e-17,4.84410e-17,6.30378e-17,4.84410e-17
3716.25,8.20513e-18,4.82367e-17,2.05683e-17,4.82367e-17
3716.50,-1.83997e-17,4.80390e-17,-6.46440e-18,4.80390e-17
3716.75,-1.30210e-17,4.78720e-17,-1.21066e-18,4.78720e-17
3717.00,-5.83919e-17,4.77149e-17,-4.66108e-17,4.77149e-17
3717.25,-6.15595e-17,4.75658e-17,-4.97321e-17,4.75658e-17
3717.50,3.44571e-18,4.74260e-17,1.54062e-17,4.74260e-17
3717.75,3.23035e-17,4.73208e-17,4.47341e-17,4.73208e-17
3718.00,1.67630e-17,4.71953e-17,2.94595e-17,4.71953e-17
3718.25,-4.21683e-18,4.70312e-17,8.36008e-18,4.70312e-17
3718.50,-2.80744e-17,4.68482e-17,-1.58088e-17,4.68482e-17
3718.75,-5.30795e-17,4.66576e-17,-4.12070e-17,4.66576e-17
3719.00,-4.81724e-17,4.64886e-17,-3.64837e-17,4.64886e-17
3719.25,-5.89213e-17,4.63349e-17,-4.72692e-17,4.63349e-17
3719.50,-3.83139e-17,4.61838e-17,-2.66756e-17,4.61838e-17
3719.75,-4.62332e-18,4.60366e-17,7.03474e-18,4.60366e-17
3720.00,3.03042e-18,4.58985e-17,1.47945e-17,4.58985e-17
3720.25,-4.19034e-17,4.57844e-17,-2.97970e-17,4.57844e-17
3720.50,-1.97312e-17,4.56560e-17,-7.42516e-18,4.56560e-17
3720.75,1.35334e-17,4.55058e-17,2.58248e-17,4.55058e-17
3721.00,4.11386e-17,4.53340e-17,5.32012e-17,4.53340e-17
3721.25,1.31909e-17,4.51490e-17,2.48925e-17,4.51490e-17
3721.50,1.24228e-17,4.49874e-17,2.39958e-17,4.49874e-17
3721.75,-2.85158e-18,4.48335e-17,8.67109e-18,4.48335e-17
3722.00,-2.70830e-18,4.46823e-17,8.79112e-18,4.46823e-17
3722.25,2.61456e-17,4.45322e-17,3.76319e-17,4.45322e-17
3722.50,1.39619e-17,4.43871e-17,2.54809e-17,4.43871e-17
3722.75,-4.00879e-18,4.42588e-17,7.70973e-18,4.42588e-17
3723.00,9.26823e-18,4.41541e-17,2.14204e-17,4.41541e-17
3723.25,1.85403e-17,4.40567e-17,3.11981e-17,4.40567e-17
3723.50,-2.03330e-17,4.39510e-17,-7.25430e-18,4.39510e-17
3723.75,-1.56454e-17,4.37499e-17,-3.10039e-18,4.37499e-17
3724.00,-3.19074e-18,4.35450e-17,8.78004e-18,4.35450e-17
3724.25,-2.27320e-17,4.33598e-17,-1.11408e-17,4.33598e-17
3724.50,-4.70425e-17,4.31943e-17,-3.56376e-17,4.31943e-17
3724.75,2.05260e-17,4.30435e-17,3.18863e-17,4.30435e-17
3725.00,-5.83134e-18,4.28965e-17,5.51703e-18,4.28965e-17
3725.25,-1.04619e-17,4.27497e-17,8.71435e-19,4.27497e-17
3725.50,-1.07665e-17,4.26032e-17,5.52007e-19,4.26032e-17
3725.75,-9.45325e-18,4.24572e-17,1.85044e-18,4.24572e-17
3726.00,4.84245e-19,4.23125e-17,1.17795e-17,4.23125e-17
3726.25,-2.79914e-17,4.21679e-17,-1.67090e-17,4.21679e-17
3726.50,1.15191e-17,4.20236e-17,2.27858e-17,4.20236e-17
3726.75,5.24869e-17,4.18800e-17,6.37380e-17,4.18800e-17
3727.00,5.44206e-17,4.17368e-17,6.56561e-17,4.17368e-17
3727.25,-2.10493e-17,4.15952e-17,-9.82109e-18,4.15952e-17
3727.50,-1.21629e-17,4.14535e-17,-9.50480e-19,4.14535e-17
3727.75,4.97593e-18,4.13127e-17,1.61735e-17,4.13127e-17
3728.00,1.40500e-17,4.11732e-17,2.52392e-17,4.11732e-17
3728.25,-1.48638e-17,4.10365e-17,-3.66169e-18,4.10365e-17
3728.50,3.37897e-17,4.09199e-17,4.51965e-17,4.09199e-17
3728.75,1.41578e-17,4.08263e-17,2.59904e-17,4.08263e-17
3729.00,-2.40956e-17,4.07304e-17,-1.18693e-17,4.07304e-17
3729.25,-5.15552e-17,4.06187e-17,-3.91005e-17,4.06187e-17
3729.50,4.49100e-17,4.04461e-17,5.69788e-17,4.04461e-17
3729.75,9.18609e-18,4.02556e-17,2.06830e-17,4.02556e-17
3730.00,-5.82432e-17,4.00966e-17,-4.70130e-17,4.00966e-17
3730.25,-6.80805e-17,3.99511e-17,-5.69895e-17,3.99511e-17
3730.50,5.51917e-18,3.98152e-17,1.65637e-17,3.98152e-17
3730.75,2.78951e-17,3.96829e-17,3.89270e-17,3.96829e-17
3731.00,-1.45635e-17,3.95510e-17,-3.54446e-18,3.95510e-17
3731.25,-3.22879e-17,3.94209e-17,-2.12671e-17,3.94209e-17
3731.50,-3.58427e-17,3.92974e-17,-2.47598e-17,3.92974e-17
3731.75,-2.98727e-17,3.91855e-17,-1.86136e-17,3.91855e-17
3732.00,-2.48783e-17,3.91368e-17,-1.28159e-17,3.91368e-17
3732.25,-1.16966e-17,3.90822e-17,1.11074e-18,3.90822e-17
3732.50,-1.63271e-18,3.89825e-17,1.14643e-17,3.89825e-17
3732.75,1.27299e-17,3.88351e-17,2.56323e-17,3.88351e-17
3733.00,5.35409e-17,3.86195e-17,6.55659e-17,3.86195e-17
3733.25,-2.95473e-17,3.84191e-17,-1.82487e-17,3.84191e-17
3733.50,-2.32449e-17,3.82849e-17,-1.20156e-17,3.82849e-17
3733.75,1.58168e-18,3.81909e-17,1.31367e-17,3.81909e-17
3734.00,2.40782e-17,3.81311e-17,3.62953e-17,3.81311e-17
3734.25,-2.36802e-17,3.81072e-17,-1.04422e-17,3.81072e-17
3734.50,8.11732e-18,3.80161e-17,2.17013e-17,3.80161e-17
3734.75,2.49668e-18,3.79296e-17,1.64696e-17,3.79296e-17
3735.00,-1.08069e-17,3.78651e-17,3.77069e-18,3.78651e-17
3735.25,-1.90152e-17,3.78263e-17,-3.57858e-18,3.78263e-17
3735.50,2.27449e-17,3.77217e-17,3.83741e-17,3.77217e-17
3735.75,2.31430e-17,3.75128e-17,3.79102e-17,3.75128e-17
3736.00,4.65969e-18,3.72877e-17,1.84008e-17,3.72877e-17
3736.25,-1.69378e-17,3.70660e-17,-4.19455e-18,3.70660e-17
3736.50,-2.47836e-17,3.68682e-17,-1.28019e-17,3.68682e-17
3736.75,-7.90602e-18,3.67298e-17,3.90434e-18,3.67298e-17
3737.00,2.86088e-17,3.66194e-17,4.05252e-17,3.66194e-17
3737.25,1.07821e-17,3.65216e-17,2.29266e-17,3.65216e-17
3737.50,-2.85754e-17,3.64365e-17,-1.60817e-17,3.64365e-17
3737.75,1.90182e-17,3.63776e-17,3.21173e-17,3.63776e-17
3738.00,-1.58151e-17,3.63052e-17,-2.24952e-18,3.63052e-17
3738.25,-2.12201e-17,3.61785e-17,-7.73808e-18,3.61785e-17
3738.50,1.92934e-18,3.60536e-17,1.53421e-17,3.60536e-17
3738.75,4.10626e-17,3.59433e-17,5.45468e-17,3.59433e-17
3739.00,-2.67587e-17,3.58623e-17,-1.29154e-17,3.58623e-17
3739.25,-4.70641e-17,3.57731e-17,-3.29492e-17,3.57731e-17
3739.50,-4.13929e-17,3.57196e-17,-2.66503e-17,3.57196e-17
3739.75,-3.29320e-17,3.57169e-17,-1.70515e-17,3.57169e-17
3740.00,-3.38258e-17,3.57762e-17,-1.61772e-17,3.57762e-17
3740.25,2.58239e-17,3.59464e-17,4.63797e-17,3.59464e-17
3740.50,7.28679e-18,3.58067e-17,2.75767e-17,3.58067e-17
