wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,3.07934e-17,5.30222e-17,4.16637e-17,5.30222e-17
3700.50,-2.94377e-17,5.85349e-17,-1.55215e-17,5.85349e-17
3700.75,-7.90955e-17,5.84338e-17,-6.45471e-17,5.84338e-17
3701.00,-6.44409e-17,5.82991e-17,-4.95945e-17,5.82991e-17
3701.25,4.45854e-17,5.81536e-17,5.96207e-17,5.81536e-17
3701.50,7.48003e-18,5.80022e-17,2.26448e-17,5.80022e-17
3701.75,-3.29509e-17,5.78093e-17,-1.80719e-17,5.78093e-17
3702.00,-4.29143e-17,5.76008e-17,-2.84757e-17,5.76008e-17
3702.25,3.61216e-17,5.74077e-17,5.02714e-17,5.74077e-17
3702.50,-2.48475e-17,5.72961e-17,-1.01799e-17,5.72961e-17
3702.75,2.00119e-17,5.71494e-17,3.48484e-17,5.71494e-17
3703.00,3.74654e-17,5.69737e-17,5.21815e-17,5.69737e-17
3703.25,1.47925e-17,5.67772e-17,2.91806e-17,5.67772e-17
3703.50,-6.84915e-17,5.65829e-17,-5.44125e-17,5.65829e-17
3703.75,-6.51394e-17,5.63867e-17,-5.13898e-17,5.63867e-17
3704.00,-4.03294e-17,5.62006e-17,-2.68113e-17,5.62006e-17
3704.25,-1.06510e-17,5.60324e-17,2.81230e-18,5.60324e-17
3704.50,1.69604e-17,5.58858e-17,3.05835e-17,5.58858e-17
3704.75,2.44091e-17,5.57627e-17,3.84212e-17,5.57627e-17
3705.00,-5.02558e-17,5.56044e-17,-3.62059e-17,5.56044e-17
3705.25,3.54437e-17,5.54358e-17,4.94273e-17,5.54358e-17
3705.50,8.25844e-17,5.52593e-17,9.64223e-17,5.52593e-17
3705.75,-6.66585e-17,5.50750e-17,-5.30456e-17,5.50750e-17
3706.00,3.36833e-17,5.49065e-17,4.72244e-17,5.49065e-17
3706.25,1.39566e-17,5.47356e-17,2.74001e-17,5.47356e-17
3706.50,1.40461e-18,5.45522e-17,1.46254e-17,5.45522e-17
3706.75,1.64680e-17,5.43638e-17,2.94160e-17,5.43638e-17
3707.00,1.09239e-16,5.41832e-17,1.21988e-16,5.41832e-17
3707.25,1.69243e-17,5.40276e-17,2.97186e-17,5.40276e-17
3707.50,-2.38288e-17,5.38923e-17,-1.07889e-17,5.38923e-17
3707.75,-4.85586e-17,5.37558e-17,-3.52869e-17,5.37558e-17
3708.00,-4.18112e-17,5.36114e-17,-2.83875e-17,5.36114e-17
3708.25,1.21610e-16,5.34441e-17,1.34954e-16,5.34441e-17
3708.50,9.17052e-18,5.32701e-17,2.23659e-17,5.32701e-17
3708.75,-4.32059e-17,5.30927e-17,-3.01942e-17,5.30927e-17
3709.00,-4.56044e-17,5.29296e-17,-3.26358e-17,5.29296e-17
3709.25,2.29516e-18,5.27899e-17,1.54498e-17,5.27899e-17
3709.50,-2.35101e-17,5.26712e-17,-9.96482e-18,5.26712e-17
3709.75,-3.82888e-17,5.24793e-17,-2.50816e-17,5.24793e-17
3710.00,-1.72830e-17,5.22910e-17,-4.37748e-18,5.22910e-17
3710.25,9.90363e-18,5.21136e-17,2.26144e-17,5.21136e-17
3710.50,1.23894e-17,5.19581e-17,2.51235e-17,5.19581e-17
3710.75,4.68291e-17,5.17960e-17,5.95183e-17,5.17960e-17
3711.00,5.32773e-17,5.16614e-17,6.61978e-17,5.16614e-17
3711.25,1.90464e-17,5.15341e-17,3.22732e-17,5.15341e-17
