wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,1.09230e-17,5.65382e-17,2.17934e-17,5.65382e-17
3700.50,7.70464e-17,6.24152e-17,9.09626e-17,6.24152e-17
3700.75,1.13632e-16,6.23085e-17,1.28181e-16,6.23085e-17
3701.00,7.26540e-17,6.21702e-17,8.75004e-17,6.21702e-17
3701.25,-3.28050e-17,6.20253e-17,-1.77697e-17,6.20253e-17
3701.50,1.55317e-17,6.18716e-17,3.06965e-17,6.18716e-17
3701.75,8.68621e-18,6.16788e-17,2.35653e-17,6.16788e-17
3702.00,-1.00406e-17,6.14714e-17,4.39802e-18,6.14714e-17
3702.25,1.76786e-17,6.12793e-17,3.18283e-17,6.12793e-17
3702.50,7.47451e-17,6.11655e-17,8.94126e-17,6.11655e-17
3702.75,2.64288e-17,6.10160e-17,4.12653e-17,6.10160e-17
3703.00,2.17111e-17,6.08394e-17,3.64272e-17,6.08394e-17
3703.25,4.73254e-17,6.06433e-17,6.17135e-17,6.06433e-17
3703.50,8.82480e-18,6.04512e-17,2.29038e-17,6.04512e-17
3703.75,7.84985e-17,6.02572e-17,9.22481e-17,6.02572e-17
3704.00,3.48308e-19,6.00709e-17,1.38664e-17,6.00709e-17
3704.25,-2.12324e-17,5.99013e-17,-7.76912e-18,5.99013e-17
3704.50,5.76162e-17,5.97520e-17,7.12393e-17,5.97520e-17
3704.75,2.41718e-17,5.96275e-17,3.81839e-17,5.96275e-17
3705.00,-2.01222e-17,5.94681e-17,-6.07230e-18,5.94681e-17
3705.25,1.41347e-17,5.92982e-17,2.81183e-17,5.92982e-17
3705.50,6.67270e-17,5.91208e-17,8.05649e-17,5.91208e-17
3705.75,9.68113e-17,5.89365e-17,1.10424e-16,5.89365e-17
3706.00,6.10150e-17,5.87703e-17,7.45561e-17,5.87703e-17
3706.25,5.94342e-17,5.85983e-17,7.28777e-17,5.85983e-17
3706.50,1.80675e-17,5.84146e-17,3.12883e-17,5.84146e-17
3706.75,-2.50786e-17,5.82263e-17,-1.21305e-17,5.82263e-17
3707.00,1.08005e-17,5.80466e-17,2.35492e-17,5.80466e-17
3707.25,4.43215e-17,5.78915e-17,5.71157e-17,5.78915e-17
3707.50,3.60409e-17,5.77528e-17,4.90808e-17,5.77528e-17
3707.75,1.00454e-17,5.76129e-17,2.33172e-17,5.76129e-17
3708.00,-2.07283e-17,5.74657e-17,-7.30472e-18,5.74657e-17
3708.25,-2.62486e-18,5.72996e-17,1.07188e-17,5.72996e-17
3708.50,9.57370e-17,5.71263e-17,1.08932e-16,5.71263e-17
3708.75,4.24036e-17,5.69483e-17,5.54153e-17,5.69483e-17
3709.00,5.83524e-18,5.67837e-17,1.88038e-17,5.67837e-17
3709.25,4.99431e-17,5.66410e-17,6.30977e-17,5.66410e-17
3709.50,6.70684e-18,5.65212e-17,2.02521e-17,5.65212e-17
3709.75,2.21706e-17,5.63303e-17,3.53777e-17,5.63303e-17
3710.00,3.79809e-17,5.61423e-17,5.08864e-17,5.61423e-17
3710.25,4.78140e-17,5.59644e-17,6.05248e-17,5.59644e-17
3710.50,4.27733e-17,5.58077e-17,5.55074e-17,5.58077e-17
3710.75,4.35051e-17,5.56472e-17,5.61943e-17,5.56472e-17
3711.00,4.39458e-17,5.55092e-17,5.68664e-17,5.55092e-17
3711.25,4.58126e-17,5.53780e-17,5.90394e-17,5.53780e-17
3711.50,4.65611e-17,5.52417e-17,6.00409e-17,5.52417e-17
3711.75,3.75096e-17,5.50712e-17,5.08559e-17,5.50712e-17
3712.00,7.11724e-17,5.48990e-17,8.43629e-17,5.48990e-17
3712.25,3.74005e-17,5.47270e-17,5.04611e-17,5.47270e-17
3712.50,4.44283e-17,5.45428e-17,5.72313e-17,5.45428e-17
3712.75,1.03245e-16,5.43459e-17,1.15652e-16,5.43459e-17
3713.00,9.37678e-17,5.41497e-17,1.05752e-16,5.41497e-17
3713.25,2.51946e-17,5.39801e-17,3.70596e-17,5.39801e-17
3713.50,2.21276e-17,5.38165e-17,3.39497e-17,5.38165e-17
3713.75,1.56247e-17,5.36558e-17,2.74337e-17,5.36558e-17
3714.00,-3.27966e-17,5.34962e-17,-2.09921e-17,5.34962e-17
3714.25,2.36140e-17,5.33423e-17,3.54291e-17,5.33423e-17
3714.50,2.43145e-17,5.31849e-17,3.61445e-17,5.31849e-17
3714.75,2.66463e-17,5.30345e-17,3.85662e-17,5.30345e-17
3715.00,2.18394e-17,5.28957e-17,3.39700e-17,5.28957e-17
3715.25,-7.66216e-18,5.27824e-17,4.93725e-18,5.27824e-17
3715.50,6.17683e-17,5.26839e-17,7.49720e-17,5.26839e-17
3715.75,-2.61513e-17,5.25230e-17,-1.29823e-17,5.25230e-17
3716.00,-1.93520e-17,5.23359e-17,-6.49997e-18,5.23359e-17
3716.25,7.84157e-17,5.21333e-17,9.07789e-17,5.21333e-17
3716.50,1.66004e-16,5.19391e-17,1.77939e-16,5.19391e-17
3716.75,6.20843e-17,5.17731e-17,7.38947e-17,5.17731e-17
3717.00,3.65707e-17,5.16143e-17,4.83518e-17,5.16143e-17
3717.25,6.15216e-17,5.14628e-17,7.33489e-17,5.14628e-17
3717.50,1.23625e-16,5.13201e-17,1.35586e-16,5.13201e-17
3717.75,5.91943e-17,5.12128e-17,7.16249e-17,5.12128e-17
3718.00,6.08715e-17,5.10840e-17,7.35680e-17,5.10840e-17
3718.25,4.51066e-17,5.09189e-17,5.76836e-17,5.09189e-17
3718.50,3.07666e-17,5.07363e-17,4.30321e-17,5.07363e-17
3718.75,3.42192e-17,5.05472e-17,4.60918e-17,5.05472e-17
3719.00,1.19066e-16,5.03814e-17,1.30754e-16,5.03814e-17
3719.25,7.53405e-17,5.02261e-17,8.69925e-17,5.02261e-17
3719.50,7.73935e-17,5.00731e-17,8.90318e-17,5.00731e-17
3719.75,1.02738e-16,4.99238e-17,1.14396e-16,4.99238e-17
3720.00,9.47960e-17,4.97845e-17,1.06560e-16,4.97845e-17
3720.25,4.32515e-17,4.96683e-17,5.53578e-17,4.96683e-17
3720.50,8.07604e-17,4.95363e-17,9.30664e-17,4.95363e-17
3720.75,5.47293e-17,4.93842e-17,6.70207e-17,4.93842e-17
3721.00,-3.09335e-17,4.92122e-17,-1.88709e-17,4.92122e-17
3721.25,-3.34458e-18,4.90308e-17,8.35707e-18,4.90308e-17
3721.50,6.54543e-17,4.88697e-17,7.70273e-17,4.88697e-17
3721.75,7.95535e-17,4.87142e-17,9.10762e-17,4.87142e-17
3722.00,6.29420e-17,4.85611e-17,7.44414e-17,4.85611e-17
3722.25,2.32518e-17,4.84091e-17,3.47381e-17,4.84091e-17
3722.50,3.59322e-17,4.82655e-17,4.74511e-17,4.82655e-17
3722.75,4.92155e-17,4.81340e-17,6.09341e-17,4.81340e-17
3723.00,1.75414e-17,4.80237e-17,2.96936e-17,4.80237e-17
3723.25,8.34667e-18,4.79201e-17,2.10045e-17,4.79201e-17
3723.50,1.11161e-16,4.78097e-17,1.24239e-16,4.78097e-17
3723.75,5.17950e-17,4.76144e-17,6.43400e-17,4.76144e-17
3724.00,1.04178e-17,4.74121e-17,2.23886e-17,4.74121e-17
3724.25,1.11271e-18,4.72279e-17,1.27039e-17,4.72279e-17
3724.50,2.24932e-17,4.70619e-17,3.38981e-17,4.70619e-17
3724.75,7.75001e-17,4.69114e-17,8.88604e-17,4.69114e-17
3725.00,8.13015e-17,4.67648e-17,9.26499e-17,4.67648e-17
3725.25,-2.47961e-19,4.66160e-17,1.10854e-17,4.66160e-17
